exam	section	question	page	source	image	width	height
2027 6모	확통	30	12	평가원 수학/2027 6모/2027 6모 확통.pdf	평가원 수학/2027 6모/Questions/확통/2027 6모 확통 30번.png	1011	261
2027 6모	미적	23	9	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 23번.png	898	229
2027 6모	미적	24	9	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 24번.png	926	278
2027 6모	미적	25	10	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 25번.png	928	333
2027 6모	미적	26	10	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 26번.png	1004	439
2027 6모	미적	27	11	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 27번.png	997	605
2027 6모	미적	28	11	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 28번.png	991	1324
2027 6모	미적	29	12	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 29번.png	1017	580
2027 6모	미적	30	12	평가원 수학/2027 6모/2027 6모 미적.pdf	평가원 수학/2027 6모/Questions/미적/2027 6모 미적 30번.png	1016	476
2027 6모	기하	23	9	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 23번.png	979	246
2027 6모	기하	24	9	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 24번.png	1015	237
2027 6모	기하	25	10	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 25번.png	965	385
2027 6모	기하	26	10	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 26번.png	999	281
2027 6모	기하	27	11	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 27번.png	1017	791
2027 6모	기하	28	11	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 28번.png	1017	1326
2027 6모	기하	29	12	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 29번.png	993	1314
2027 6모	기하	30	12	평가원 수학/2027 6모/2027 6모 기하.pdf	평가원 수학/2027 6모/Questions/기하/2027 6모 기하 30번.png	1014	1009
2026 수능	공통	1	1	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 01번.png	895	211
